Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net8.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,178,8,T:System.Windows.Forms.KeyEventArgs,,,,,"private void onKeyDown(object sender, KeyEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,264,20,T:System.Windows.Forms.Keys,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.I)                      {                          Vector3 rotation = entity.Rotation;                          string rotationX = rotation.X.ToString();                          string rotationY = rotation.Y.ToString();                          string rotationZ = rotation.Z.ToString();                          string XYZ = rotation.ToString().Replace(""X:"", string.Empty).Replace(""Y:"", string.Empty).Replace(""Z:"", string.Empty);                          string Text2 = XYZ.Replace(rotationX, rotationX + ""f,"");                          string Text3 = Text2.Replace(rotationY, rotationY + ""f,"");                          string Final = Text3.Replace(rotationZ, rotationZ + ""f"");                          TheNorthYanktonHeist.Funcs.fDebug.CopyToClipboard(Final);                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,264,20,T:System.Windows.Forms.Keys,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.I)                      {                          Vector3 rotation = entity.Rotation;                          string rotationX = rotation.X.ToString();                          string rotationY = rotation.Y.ToString();                          string rotationZ = rotation.Z.ToString();                          string XYZ = rotation.ToString().Replace(""X:"", string.Empty).Replace(""Y:"", string.Empty).Replace(""Z:"", string.Empty);                          string Text2 = XYZ.Replace(rotationX, rotationX + ""f,"");                          string Text3 = Text2.Replace(rotationY, rotationY + ""f,"");                          string Final = Text3.Replace(rotationZ, rotationZ + ""f"");                          TheNorthYanktonHeist.Funcs.fDebug.CopyToClipboard(Final);                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,264,20,F:System.Windows.Forms.Keys.I,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.I)                      {                          Vector3 rotation = entity.Rotation;                          string rotationX = rotation.X.ToString();                          string rotationY = rotation.Y.ToString();                          string rotationZ = rotation.Z.ToString();                          string XYZ = rotation.ToString().Replace(""X:"", string.Empty).Replace(""Y:"", string.Empty).Replace(""Z:"", string.Empty);                          string Text2 = XYZ.Replace(rotationX, rotationX + ""f,"");                          string Text3 = Text2.Replace(rotationY, rotationY + ""f,"");                          string Final = Text3.Replace(rotationZ, rotationZ + ""f"");                          TheNorthYanktonHeist.Funcs.fDebug.CopyToClipboard(Final);                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,264,20,T:System.Windows.Forms.Keys,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.I)                      {                          Vector3 rotation = entity.Rotation;                          string rotationX = rotation.X.ToString();                          string rotationY = rotation.Y.ToString();                          string rotationZ = rotation.Z.ToString();                          string XYZ = rotation.ToString().Replace(""X:"", string.Empty).Replace(""Y:"", string.Empty).Replace(""Z:"", string.Empty);                          string Text2 = XYZ.Replace(rotationX, rotationX + ""f,"");                          string Text3 = Text2.Replace(rotationY, rotationY + ""f,"");                          string Final = Text3.Replace(rotationZ, rotationZ + ""f"");                          TheNorthYanktonHeist.Funcs.fDebug.CopyToClipboard(Final);                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,264,20,P:System.Windows.Forms.KeyEventArgs.KeyCode,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.I)                      {                          Vector3 rotation = entity.Rotation;                          string rotationX = rotation.X.ToString();                          string rotationY = rotation.Y.ToString();                          string rotationZ = rotation.Z.ToString();                          string XYZ = rotation.ToString().Replace(""X:"", string.Empty).Replace(""Y:"", string.Empty).Replace(""Z:"", string.Empty);                          string Text2 = XYZ.Replace(rotationX, rotationX + ""f,"");                          string Text3 = Text2.Replace(rotationY, rotationY + ""f,"");                          string Final = Text3.Replace(rotationZ, rotationZ + ""f"");                          TheNorthYanktonHeist.Funcs.fDebug.CopyToClipboard(Final);                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,255,20,T:System.Windows.Forms.Keys,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.K)                      {                          if (entity.Model.IsInCdImage)                          {                              int modelHash = entity.Model.Hash;                              fDebug.CopyToClipboard(modelHash.ToString());                          }                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TheNorthYanktonHeist\TheNorthYanktonHeist.csproj,File,TheNorthYanktonHeist\Global.cs,255,20,T:System.Windows.Forms.Keys,,,,,"if (Function.Call<bool>(Hash.IS_PLAYER_FREE_AIMING_AT_ENTITY, Game.Player, entity) && e.KeyCode == Keys.K)                      {                          if (entity.Model.IsInCdImage)                          {                              int modelHash = entity.Model.Hash;                              fDebug.CopyToClipboard(modelHash.ToString());                          }                      }"
